,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,location,event,sex,category,ms*
0,1.0,2039,Oblique SEVILLE,JAM,9.93 Q,0.137,Eugene,100-metres,men,heats,
1,2.0,1999,Lamont Marcell JACOBS,ITA,10.04 Q =SB,0.11,Eugene,100-metres,men,heats,
2,3.0,2067,Ryuichiro SAKAI,JPN,10.12 Q,0.128,Eugene,100-metres,men,heats,
3,4.0,1886,Reece PRESCOD,GBR,10.15,0.118,Eugene,100-metres,men,heats,
4,5.0,1928,Julian WAGNER,GER,10.21,0.131,Eugene,100-metres,men,heats,0.201
5,6.0,1706,Shainer RENGIFO MONTOYA,CUB,10.21,0.115,Eugene,100-metres,men,heats,0.204
6,7.0,1522,Dorian KELETELA,ART,10.52,0.129,Eugene,100-metres,men,heats,
7,,1564,Imranur RAHMAN,BAN,DNS,,Eugene,100-metres,men,heats,
0,1.0,1599,Letsile TEBOGO,BOT,9.94 Q WU20R,0.143,Eugene,100-metres,men,heats,
1,2.0,2020,Yohan BLAKE,JAM,10.04 Q,0.113,Eugene,100-metres,men,heats,
2,3.0,1639,Aaron BROWN,CAN,10.06 Q SB,0.141,Eugene,100-metres,men,heats,
3,4.0,2266,Akani SIMBINE,RSA,10.07 q,0.128,Eugene,100-metres,men,heats,
4,5.0,1555,Samson COLEBROOKE,BAH,10.23,0.125,Eugene,100-metres,men,heats,
5,6.0,1532,Jake DORAN,AUS,10.29,0.122,Eugene,100-metres,men,heats,
6,7.0,2211,Cesar ALMIRON,PAR,10.51,0.129,Eugene,100-metres,men,heats,
7,8.0,1952,Melique GARCIA,HON,10.88,0.177,Eugene,100-metres,men,heats,
0,1.0,2368,Christian COLEMAN,USA,10.08 Q,0.122,Eugene,100-metres,men,heats,
1,2.0,1640,Andre DE GRASSE,CAN,10.12 Q,0.128,Eugene,100-metres,men,heats,
2,3.0,1604,Erik CARDOSO,BRA,10.18 Q,0.129,Eugene,100-metres,men,heats,0.173
3,4.0,1934,Benjamin AZAMATI,GHA,10.18,0.191,Eugene,100-metres,men,heats,0.18
4,5.0,2257,Gift LEOTLELA,RSA,10.19,0.124,Eugene,100-metres,men,heats,
5,6.0,2184,Udodi Chudi ONWUZURIKE,NGR,10.26,0.104,Eugene,100-metres,men,heats,
6,7.0,1981,Hussein Ali AL KHAFAJI,IRQ,10.55,0.137,Eugene,100-metres,men,heats,
7,8.0,2311,Ildar AKHMADIEV,TJK,10.85,0.114,Eugene,100-metres,men,heats,
0,1.0,2068,Abdul Hakim SANI BROWN,JPN,9.98 Q SB,0.112,Eugene,100-metres,men,heats,
1,2.0,2204,Edward OSEI-NKETIA,NZL,10.08 Q NR,0.127,Eugene,100-metres,men,heats,
2,3.0,2100,Ferdinand OMANYALA,KEN,10.10 Q,0.132,Eugene,100-metres,men,heats,
3,4.0,1685,Ismael KONE,CIV,10.17,0.125,Eugene,100-metres,men,heats,
4,5.0,1602,Felipe BARDI,BRA,10.22,0.111,Eugene,100-metres,men,heats,0.218
5,6.0,1933,Joseph Paul AMOAH,GHA,10.22,0.141,Eugene,100-metres,men,heats,0.22
6,7.0,2263,Clarence MUNYAI,RSA,10.47,0.115,Eugene,100-metres,men,heats,
7,8.0,1687,Lionel Tshimanga MUTEBA,COD,10.60,0.166,Eugene,100-metres,men,heats,
8,9.0,2114,Noureddine HADID,LBN,10.72,0.122,Eugene,100-metres,men,heats,
0,1.0,2266,Akani SIMBINE,RSA,9.97 Q SB,0.108,Eugene,100-metres,men,semi-final,0.966
1,2.0,2363,Trayvon BROMELL,USA,9.97 Q,0.121,Eugene,100-metres,men,semi-final,0.967
2,3.0,2068,Abdul Hakim SANI BROWN,JPN,10.05 q,0.124,Eugene,100-metres,men,semi-final,
3,4.0,2020,Yohan BLAKE,JAM,10.12,0.141,Eugene,100-metres,men,semi-final,0.111
4,5.0,2116,Emmanuel MATADI,LBR,10.12,0.135,Eugene,100-metres,men,semi-final,0.113
5,6.0,1684,Arthur CISSÉ,CIV,10.16,0.129,Eugene,100-metres,men,semi-final,
6,7.0,1610,Rodrigo DO NASCIMENTO,BRA,10.19,0.122,Eugene,100-metres,men,semi-final,
7,8.0,2176,Raymond EKEVWO,NGR,10.20,0.128,Eugene,100-metres,men,semi-final,
0,1.0,2389,Fred KERLEY,USA,10.02 Q,0.129,Eugene,100-metres,men,semi-final,
1,2.0,2368,Christian COLEMAN,USA,10.05 Q,0.118,Eugene,100-metres,men,semi-final,
2,3.0,1875,Zharnel HUGHES,GBR,10.13,0.121,Eugene,100-metres,men,semi-final,
3,4.0,2019,Ackeem BLAKE,JAM,10.19,0.138,Eugene,100-metres,men,semi-final,
4,5.0,1640,Andre DE GRASSE,CAN,10.21,0.146,Eugene,100-metres,men,semi-final,
5,6.0,2067,Ryuichiro SAKAI,JPN,10.23,0.13,Eugene,100-metres,men,semi-final,
6,7.0,2204,Edward OSEI-NKETIA,NZL,10.29,0.142,Eugene,100-metres,men,semi-final,
7,8.0,1675,Bingtian SU,CHN,10.30,0.133,Eugene,100-metres,men,semi-final,
0,1.0,2039,Oblique SEVILLE,JAM,9.90 Q,0.128,Eugene,100-metres,men,semi-final,
1,2.0,2360,Marvin BRACY,USA,9.93 Q,0.123,Eugene,100-metres,men,semi-final,
2,3.0,1639,Aaron BROWN,CAN,10.06 q =SB,0.138,Eugene,100-metres,men,semi-final,
3,4.0,2175,Favour Oghene Tejiri ASHE,NGR,10.12,0.135,Eugene,100-metres,men,semi-final,
4,5.0,2100,Ferdinand OMANYALA,KEN,10.14,0.138,Eugene,100-metres,men,semi-final,
5,6.0,1604,Erik CARDOSO,BRA,10.15,0.141,Eugene,100-metres,men,semi-final,
6,7.0,1599,Letsile TEBOGO,BOT,10.17,0.146,Eugene,100-metres,men,semi-final,
7,,1999,Lamont Marcell JACOBS,ITA,DNS,,Eugene,100-metres,men,semi-final,
0,1.0,2389,Fred KERLEY,USA,9.86,0.119,Eugene,100-metres,men,final,
1,2.0,2360,Marvin BRACY,USA,9.88,0.118,Eugene,100-metres,men,final,0.874
2,3.0,2363,Trayvon BROMELL,USA,9.88,0.11,Eugene,100-metres,men,final,0.876
3,4.0,2039,Oblique SEVILLE,JAM,9.97,0.154,Eugene,100-metres,men,final,
4,5.0,2266,Akani SIMBINE,RSA,10.01,0.129,Eugene,100-metres,men,final,0.003
5,6.0,2368,Christian COLEMAN,USA,10.01,0.104,Eugene,100-metres,men,final,0.005
6,7.0,2068,Abdul Hakim SANI BROWN,JPN,10.06,0.147,Eugene,100-metres,men,final,
7,8.0,1639,Aaron BROWN,CAN,10.07,0.155,Eugene,100-metres,men,final,
0,,840,Shericka JACKSON,JAM,,,Eugene,200-metres,women,heats,
1,,488,Edidiong Ofinome ODIONG,BRN,,,Eugene,200-metres,women,heats,
2,,968,Rosemary CHUKWUMA,NGR,,,Eugene,200-metres,women,heats,
3,,600,Gabriela Anahi SUAREZ,ECU,,,Eugene,200-metres,women,heats,
4,,764,Jessica-Bianca WESSOLLY,GER,,,Eugene,200-metres,women,heats,
5,,894,Olga SAFRONOVA,KAZ,,,Eugene,200-metres,women,heats,
6,,814,Dalia KADDARI,ITA,,,Eugene,200-metres,women,heats,
0,,855,Elaine THOMPSON-HERAH,JAM,,,Eugene,200-metres,women,heats,
1,,401,Joella LLOYD,ANT,,,Eugene,200-metres,women,heats,
2,,480,Lorraine MARTINS,BRA,,,Eugene,200-metres,women,heats,
3,,946,Beatrice MASILINGI,NAM,,,Eugene,200-metres,women,heats,
4,,1028,Lorène Dorcas BAZOLO,POR,,,Eugene,200-metres,women,heats,
5,,586,Ida KARSTOFT,DEN,,,Eugene,200-metres,women,heats,
6,,738,Sophia JUNK,GER,,,Eugene,200-metres,women,heats,
7,,652,Anniina KORTETMAA,FIN,,,Eugene,200-metres,women,heats,
0,,978,Aminatou SEYNI,NIG,,,Eugene,200-metres,women,heats,
1,,836,Shelly-Ann FRASER-PRYCE,JAM,,,Eugene,200-metres,women,heats,
2,,987,Elisabeth SLETTUM,NOR,,,Eugene,200-metres,women,heats,
3,,554,Marie-Josée TA LOU,CIV,,,Eugene,200-metres,women,heats,
4,,461,Imke VERVAET,BEL,,,Eugene,200-metres,women,heats,
5,,690,Beth DOBBIN,GBR,,,Eugene,200-metres,women,heats,
6,,1061,Veronica Shanti PEREIRA,SGP,,,Eugene,200-metres,women,heats,
7,,482,Vitoria Cristina ROSA,BRA,,,Eugene,200-metres,women,heats,
0,,681,Dina ASHER-SMITH,GBR,,,Eugene,200-metres,women,heats,
1,,467,Ana Carolina AZEVEDO,BRA,,,Eugene,200-metres,women,heats,
2,,680,Gina BASS,GAM,,,Eugene,200-metres,women,heats,
3,,444,TyNia GAITHER,BAH,,,Eugene,200-metres,women,heats,
4,,1147,Tamara CLARK,USA,,,Eugene,200-metres,women,heats,
5,,1051,Shirley NEKHUBUI,RSA,,,Eugene,200-metres,women,heats,
6,,552,Jessika GBAI,CIV,,,Eugene,200-metres,women,heats,
0,,553,Maboundou KONÉ,CIV,,,Eugene,200-metres,women,heats,
1,,1084,Mujinga KAMBUNDJI,SUI,,,Eugene,200-metres,women,heats,
2,,415,Ella CONNOLLY,AUS,,,Eugene,200-metres,women,heats,
3,,970,Nzubechi Grace NWOKOCHA,NGR,,,Eugene,200-metres,women,heats,
4,,498,Lauren GALE,CAN,,,Eugene,200-metres,women,heats,
5,,829,Beyonce DEFREITAS,IVB,,,Eugene,200-metres,women,heats,
6,,1206,Abby STEINER,USA,,,Eugene,200-metres,women,heats,
0,,1197,Jenna PRANDINI,USA,,,Eugene,200-metres,women,heats,
1,,505,Catherine LÉGER,CAN,,,Eugene,200-metres,women,heats,
2,,1003,Hanna BARAKAT,PLE,,,Eugene,200-metres,women,heats,
3,,447,Anthonique STRACHAN,BAH,,,Eugene,200-metres,women,heats,
4,,971,Favour OFILI,NGR,,,Eugene,200-metres,women,heats,
5,,573,Olivia FOTOPOULOU,CYP,,,Eugene,200-metres,women,heats,
6,,994,Georgia HULLS,NZL,,,Eugene,200-metres,women,heats,
7,,408,Jacinta BEECHER,AUS,,,Eugene,200-metres,women,heats,
0,,2074,Koki UEYAMA,JPN,,,Eugene,200-metres,men,heats,
1,,1638,Jerome BLAKE,CAN,,,Eugene,200-metres,men,heats,
2,,2215,Terrence TALIO,PNG,,,Eugene,200-metres,men,heats,
3,,1626,Lucas RODRIGUES DA SILVA,BRA,,,Eugene,200-metres,men,heats,
4,,1933,Joseph Paul AMOAH,GHA,,,Eugene,200-metres,men,heats,
5,,1867,Joe FERGUSON,GBR,,,Eugene,200-metres,men,heats,
6,,2115,Joseph FAHNBULLEH,LBR,,,Eugene,200-metres,men,heats,
0,,1950,Joseph GREEN,GUM,,,Eugene,200-metres,men,heats,
1,,1724,Simon HANSEN,DEN,,,Eugene,200-metres,men,heats,
2,,2259,Shaun MASWANGANYI,RSA,,,Eugene,200-metres,men,heats,
3,,2320,Jereem RICHARDS,TTO,,,Eugene,200-metres,men,heats,
4,,1639,Aaron BROWN,CAN,,,Eugene,200-metres,men,heats,
5,,1706,Shainer RENGIFO MONTOYA,CUB,,,Eugene,200-metres,men,heats,
6,,2052,Shota IIZUKA,JPN,,,Eugene,200-metres,men,heats,
0,,1738,Yancarlos MARTÍNEZ,DOM,,,Eugene,200-metres,men,heats,
1,,2305,Sibusiso MATSENJWA,SWZ,,,Eugene,200-metres,men,heats,
2,,2021,Akeem BLOOMFIELD,JAM,,,Eugene,200-metres,men,heats,
3,,2247,Luxolo ADAMS,RSA,,,Eugene,200-metres,men,heats,
4,,2439,Tinotenda MATIYENGA,ZIM,,,Eugene,200-metres,men,heats,
5,,1882,Nethaneel MITCHELL-BLAKE,GBR,,,Eugene,200-metres,men,heats,
6,,2396,Erriyon KNIGHTON,USA,,,Eugene,200-metres,men,heats,
0,,1995,Eseosa Fostine DESALU,ITA,,,Eugene,200-metres,men,heats,
1,,2340,Tarsis Gracious OROGOT,UGA,,,Eugene,200-metres,men,heats,
2,,1740,Alexander OGANDO,DOM,,,Eugene,200-metres,men,heats,
3,,1697,Hachim MAAROUFOU,COM,,,Eugene,200-metres,men,heats,
4,,1511,Marcos SANTOS,ANG,,,Eugene,200-metres,men,heats,
5,,1830,Mouhamadou FALL,FRA,,,Eugene,200-metres,men,heats,
6,,2355,Kenneth BEDNAREK,USA,,,Eugene,200-metres,men,heats,
0,,2389,Fred KERLEY,USA,,,Eugene,200-metres,men,heats,
1,,2184,Udodi Chudi ONWUZURIKE,NGR,,,Eugene,200-metres,men,heats,
2,,2250,Sinesipho DAMBILE,RSA,,,Eugene,200-metres,men,heats,
3,,1546,Aidan MURPHY,AUS,,,Eugene,200-metres,men,heats,
4,,1686,Emmanuel ESEME,CMR,,,Eugene,200-metres,men,heats,
5,,2294,William REAIS,SUI,,,Eugene,200-metres,men,heats,
6,,2020,Yohan BLAKE,JAM,,,Eugene,200-metres,men,heats,
0,,2210,Alonso EDWARD,PAN,,,Eugene,200-metres,men,heats,
1,,1853,Guy MAGANGA GORRA,GAB,,,Eugene,200-metres,men,heats,
2,,2012,Filippo TORTU,ITA,,,Eugene,200-metres,men,heats,
3,,1868,Adam GEMILI,GBR,,,Eugene,200-metres,men,heats,
4,,2060,Yuki KOIKE,JPN,,,Eugene,200-metres,men,heats,
5,,1540,Calab LAW,AUS,,,Eugene,200-metres,men,heats,
6,,1640,Andre DE GRASSE,CAN,,,Eugene,200-metres,men,heats,
0,,1681,Zhenye XIE,CHN,,,Eugene,200-metres,men,heats,
1,,1893,Owen ANSAH,GER,,,Eugene,200-metres,men,heats,
2,,2400,Noah LYLES,USA,,,Eugene,200-metres,men,heats,
3,,2025,Rasheed DWYER,JAM,,,Eugene,200-metres,men,heats,
4,,2317,Eric HARRISON JR.,TTO,,,Eugene,200-metres,men,heats,
5,,1712,Jan JIRKA,CZE,,,Eugene,200-metres,men,heats,
6,,1631,Lucas VILAR,BRA,,,Eugene,200-metres,men,heats,
0,1.0,2370,Trey CUNNINGHAM,USA,13.28 Q,0.115,Eugene,110-metres-hurdles,men,heats,
1,2.0,2022,Rasheed BROADBELL,JAM,13.36 Q,0.139,Eugene,110-metres-hurdles,men,heats,
2,3.0,1885,Andrew POZZI,GBR,13.45 Q,0.12,Eugene,110-metres-hurdles,men,heats,
3,4.0,2292,Jason JOSEPH,SUI,13.49 Q,0.14,Eugene,110-metres-hurdles,men,heats,0.484
4,5.0,1838,Pascal MARTINOT-LAGARDE,FRA,13.49 q,0.134,Eugene,110-metres-hurdles,men,heats,0.486
5,6.0,2329,Mikdat SEVLER,TUR,13.61,0.114,Eugene,110-metres-hurdles,men,heats,
6,7.0,1720,Petr SVOBODA,CZE,13.65,0.121,Eugene,110-metres-hurdles,men,heats,
7,8.0,2153,Jeremie LARARAUDEUSE,MRI,14.19,0.149,Eugene,110-metres-hurdles,men,heats,
0,1.0,2385,Grant HOLLOWAY,USA,13.14 Q,0.147,Eugene,110-metres-hurdles,men,heats,
1,2.0,2218,Damian CZYKIER,POL,13.37 Q,0.146,Eugene,110-metres-hurdles,men,heats,
2,3.0,1892,Joshua ZELLER,GBR,13.41 Q,0.126,Eugene,110-metres-hurdles,men,heats,
3,4.0,1625,Eduardo RODRIGUES,BRA,13.46 Q,0.134,Eugene,110-metres-hurdles,men,heats,
4,5.0,1539,Nicholas HOUGH,AUS,13.51 q,0.153,Eugene,110-metres-hurdles,men,heats,
5,6.0,1680,Wenjun XIE,CHN,13.58,0.116,Eugene,110-metres-hurdles,men,heats,
6,7.0,2275,Louis François MENDY,SEN,13.70,0.179,Eugene,110-metres-hurdles,men,heats,
7,8.0,2314,Kuei-Ru CHEN,TPE,13.82,0.134,Eugene,110-metres-hurdles,men,heats,
0,1.0,1772,Asier MARTÍNEZ,ESP,13.37 Q,0.137,Eugene,110-metres-hurdles,men,heats,
1,2.0,1503,Amine BOUANANI,ALG,13.44 Q,0.134,Eugene,110-metres-hurdles,men,heats,
2,3.0,1851,Sasha ZHOYA,FRA,13.48 Q,0.132,Eugene,110-metres-hurdles,men,heats,
3,4.0,2053,Shuhei ISHIKAWA,JPN,13.53 Q,0.144,Eugene,110-metres-hurdles,men,heats,
4,5.0,2018,Orlando BENNETT,JAM,13.55 q,0.159,Eugene,110-metres-hurdles,men,heats,
5,6.0,1660,Rasheem BROWN,CAY,13.78,0.14,Eugene,110-metres-hurdles,men,heats,
6,7.0,1926,Gregor TRABER,GER,13.81,0.145,Eugene,110-metres-hurdles,men,heats,
7,,2415,Daniel ROBERTS,USA,DQ,0.179,Eugene,110-metres-hurdles,men,heats,
0,1.0,2033,Hansle PARCHMENT,JAM,13.17 Q,0.153,Eugene,110-metres-hurdles,men,heats,
1,2.0,1624,Rafael PEREIRA,BRA,13.23 Q,0.14,Eugene,110-metres-hurdles,men,heats,
2,3.0,1835,Just KWAOU-MATHEY,FRA,13.32 Q,0.15,Eugene,110-metres-hurdles,men,heats,
3,4.0,1565,Shane BRATHWAITE,BAR,13.47 Q,0.134,Eugene,110-metres-hurdles,men,heats,
4,5.0,1770,Enrique LLOPIS,ESP,13.58 q,0.137,Eugene,110-metres-hurdles,men,heats,
5,6.0,2063,Rachid MURATAKE,JPN,13.73,0.182,Eugene,110-metres-hurdles,men,heats,
6,7.0,1816,Elmo LAKKA,FIN,13.91,0.143,Eugene,110-metres-hurdles,men,heats,
7,8.0,1533,Chris DOUGLAS,AUS,13.95,0.198,Eugene,110-metres-hurdles,men,heats,
0,1.0,2350,Devon ALLEN,USA,13.47 Q,0.123,Eugene,110-metres-hurdles,men,heats,
1,2.0,1709,Milan TRAJKOVIC,CYP,13.52 Q,0.133,Eugene,110-metres-hurdles,men,heats,
2,3.0,2056,Shunsuke IZUMIYA,JPN,13.56 Q,0.128,Eugene,110-metres-hurdles,men,heats,
3,4.0,1877,David KING,GBR,13.57 Q,0.117,Eugene,110-metres-hurdles,men,heats,
4,5.0,2248,Antonio ALKANA,RSA,13.64,0.116,Eugene,110-metres-hurdles,men,heats,
5,6.0,2117,Wellington ZAZA,LBR,13.81,0.12,Eugene,110-metres-hurdles,men,heats,
6,7.0,2152,Richard DIAWARA,MLI,14.35,0.136,Eugene,110-metres-hurdles,men,heats,
7,,1606,Gabriel CONSTANTINO,BRA,DQ,0.15,Eugene,110-metres-hurdles,men,heats,
0,1.0,2385,Grant HOLLOWAY,USA,13.01 Q SB,0.128,Eugene,110-metres-hurdles,men,semi-final,
1,2.0,1892,Joshua ZELLER,GBR,13.31 Q,0.124,Eugene,110-metres-hurdles,men,semi-final,
2,3.0,1503,Amine BOUANANI,ALG,13.37 NR,0.13,Eugene,110-metres-hurdles,men,semi-final,
3,4.0,1624,Rafael PEREIRA,BRA,13.46,0.125,Eugene,110-metres-hurdles,men,semi-final,
4,5.0,1851,Sasha ZHOYA,FRA,13.47,0.154,Eugene,110-metres-hurdles,men,semi-final,
5,6.0,2018,Orlando BENNETT,JAM,13.67,0.139,Eugene,110-metres-hurdles,men,semi-final,0.663
6,7.0,2292,Jason JOSEPH,SUI,13.67,0.149,Eugene,110-metres-hurdles,men,semi-final,0.667
7,8.0,2053,Shuhei ISHIKAWA,JPN,13.68,0.144,Eugene,110-metres-hurdles,men,semi-final,
0,1.0,2370,Trey CUNNINGHAM,USA,13.07 Q,0.12,Eugene,110-metres-hurdles,men,semi-final,
1,2.0,1772,Asier MARTÍNEZ,ESP,13.26 Q SB,0.141,Eugene,110-metres-hurdles,men,semi-final,
2,3.0,2022,Rasheed BROADBELL,JAM,13.27,0.129,Eugene,110-metres-hurdles,men,semi-final,
3,4.0,1838,Pascal MARTINOT-LAGARDE,FRA,13.40 SB,0.129,Eugene,110-metres-hurdles,men,semi-final,
4,5.0,2056,Shunsuke IZUMIYA,JPN,13.42,0.112,Eugene,110-metres-hurdles,men,semi-final,
5,6.0,1709,Milan TRAJKOVIC,CYP,13.49,0.142,Eugene,110-metres-hurdles,men,semi-final,
6,7.0,1877,David KING,GBR,13.51,0.12,Eugene,110-metres-hurdles,men,semi-final,
7,8.0,1625,Eduardo RODRIGUES,BRA,13.62,0.13,Eugene,110-metres-hurdles,men,semi-final,
0,1.0,2033,Hansle PARCHMENT,JAM,13.02 Q,0.128,Eugene,110-metres-hurdles,men,semi-final,
1,2.0,2350,Devon ALLEN,USA,13.09 Q,0.101,Eugene,110-metres-hurdles,men,semi-final,
2,3.0,1565,Shane BRATHWAITE,BAR,13.21 q,0.115,Eugene,110-metres-hurdles,men,semi-final,
3,4.0,2218,Damian CZYKIER,POL,13.22 q,0.135,Eugene,110-metres-hurdles,men,semi-final,
4,5.0,1835,Just KWAOU-MATHEY,FRA,13.25,0.148,Eugene,110-metres-hurdles,men,semi-final,
5,6.0,1885,Andrew POZZI,GBR,13.35,0.141,Eugene,110-metres-hurdles,men,semi-final,
6,7.0,1539,Nicholas HOUGH,AUS,13.42,0.131,Eugene,110-metres-hurdles,men,semi-final,
7,8.0,1770,Enrique LLOPIS,ESP,13.44,0.113,Eugene,110-metres-hurdles,men,semi-final,
0,1.0,2385,Grant HOLLOWAY,USA,13.03,0.124,Eugene,110-metres-hurdles,men,final,
1,2.0,2370,Trey CUNNINGHAM,USA,13.08,0.109,Eugene,110-metres-hurdles,men,final,
2,3.0,1772,Asier MARTÍNEZ,ESP,13.17 PB,0.126,Eugene,110-metres-hurdles,men,final,
3,4.0,2218,Damian CZYKIER,POL,13.32,0.14,Eugene,110-metres-hurdles,men,final,
4,5.0,1892,Joshua ZELLER,GBR,13.33,0.145,Eugene,110-metres-hurdles,men,final,
5,,1565,Shane BRATHWAITE,BAR,DQ,0.108,Eugene,110-metres-hurdles,men,final,
6,,2350,Devon ALLEN,USA,DQ,0.099,Eugene,110-metres-hurdles,men,final,
7,,2033,Hansle PARCHMENT,JAM,DNS,,Eugene,110-metres-hurdles,men,final,
